"tree.uniqueID","Year","event","spei_post","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","BA","DBH","reduction","spei12","post1","post2","spei_post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","Region1","recovery"
"4pj3_1965",1934,"post1",0.274670927575586,1935,0.994196292963296,0.994421783907889,0.976990432476971,1.01098328911781,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"yes",-1.82483242973721,1.36526623252251,1.13454851016747,0.566953667448269,0.0302879485708957,0.371069939559209,0.370844448614616,0.354282943404691,0.388275800045534,"lat3",0.371069939559209
"4pj3_1965",1959,"post1",-1.07043001456426,1960,0.98561179169999,0.985091150504555,0.956906542124673,1.01456705280329,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"no",-1.43846625066214,0.661329137021461,0.59883977133435,-1.4245109878134,-0.0683714482299339,-0.324282654678529,-0.323762013483094,-0.353237915781824,-0.295577405103211,"lat3",-0.324282654678529
"4pj3_1965",1961,"post1",0.311873996031284,1962,0.994425824409298,0.994789592844019,0.977757558122035,1.01150043678896,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"yes",-1.4245109878134,0.892484510647187,0.917556026421666,0.566830431441732,0.427479175851028,-0.10194131376211,-0.102305082196831,-0.119015926141775,-0.085273047474847,"lat3",-0.10194131376211
"4pj3_1965",1977,"post1",1.81179155100725,1978,1.00442962121899,1.00364127423379,0.9614083708074,1.0470522632169,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"no",-1.97144977485952,1.51703122100713,1.07062789858041,-0.216965303749312,-0.0432354101962251,0.512601599788144,0.513389946773345,0.469978957790231,0.555622850199731,"lat3",0.512601599788144
"4pj3_1965",1990,"post1",-0.250315274028977,1991,0.990659023861221,0.990544733777227,0.972209972148536,1.00764948357497,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"yes",-1.36715066580262,0.391916656998739,0.691267768910088,-1.35465351676714,0.401651402427457,-0.598742366862482,-0.598628076778488,-0.615732826576234,-0.580293315149797,"lat3",-0.598742366862482
"4pj3_1965",1992,"post1",0.823508624202957,1993,0.998159016299235,0.998724990173554,0.97153085451911,1.02169581861962,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"yes",-1.35465351676714,0.519634945650338,0.393842177284698,-1.01359165657763,0.339113379389999,-0.478524070648897,-0.479090044523216,-0.50206087296928,-0.451895908868772,"lat3",-0.478524070648897
"4pj3_1965",2007,"post1",-0.404134826538968,2008,0.989634251765914,0.989486560893451,0.971008427738109,1.00718879722893,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"no",-1.36716484668352,1.57974825622002,1.34968265597668,-0.516236943535189,-0.695093889332245,0.590114004454107,0.590261695326569,0.572559458991092,0.608739828481912,"lat3",0.590114004454107
"4pj3_1965",2014,"post1",-1.90799948484642,2015,0.9800182184261,0.979129087283335,0.933566499002829,1.02539678363312,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"yes",-1.78409699135543,1.22642492286446,1.45126296531934,-0.459638075884824,0.018766895391309,0.246406704438359,0.247295835581124,0.201028139231334,0.29285842386163,"lat3",0.246406704438359
"4pj3_1965",2015,"post1",-0.459638075884824,2016,0.989570512886051,0.989351820068321,0.970713101157733,1.00928818163018,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"no",-1.90799948484642,1.45126296531934,0.990235164504943,1.32510992650275,-0.172523671950917,0.461692452433285,0.461911145251014,0.44197478368916,0.480549864161603,"lat3",0.461692452433285
"4pj3_1966",1898,"post1",-0.198582060082259,1899,0.990430963921234,0.990854545519781,0.974166862997735,1.0063765898592,"cm","PJ",3,"SEKI","low",4.51993748564443,291.811863189,47.8,"no",-1.44304457746534,1.07090022825215,1.17357200809183,0.170684452825451,-0.121047670334454,0.080469264330915,0.0800456827323682,0.0645236383929538,0.0967333652544146,"lat3",0.080469264330915
"4pj3_1966",1924,"post1",0.674158324900185,1925,0.996511139182713,0.996563605587633,0.974930151729976,1.01818685530955,"cm","PJ",3,"SEKI","low",4.51993748564443,291.811863189,47.8,"yes",-1.83069360264273,0.893650705574077,1.00293292846469,-0.854992440397793,0.0474553203746872,-0.102860433608636,-0.102912900013556,-0.124536149735476,-0.0812794461558984,"lat3",-0.102860433608636
"4pj3_1966",1931,"post1",0.84382170111112,1932,0.997899335119834,0.997678876109315,0.972698449923729,1.02217271654749,"cm","PJ",3,"SEKI","low",4.51993748564443,291.811863189,47.8,"no",-1.62865821874488,1.03334244559757,1.22255858999947,-0.692761683409444,-0.376227578158651,0.0354431104777333,0.0356635694882531,0.01116972905008,0.0606439956738383,"lat3",0.0354431104777333
"4pj3_1966",1934,"post1",0.274670927575586,1935,0.993858303984172,0.994140529046955,0.974975170850368,1.01164566782638,"cm","PJ",3,"SEKI","low",4.51993748564443,291.811863189,47.8,"no",-1.82483242973721,1.22670344318001,1.2704635156755,0.566953667448269,-0.494486636827189,0.232845139195836,0.232562914133053,0.215057775353629,0.251728272329641,"lat3",0.232845139195836
"4pj3_1966",1959,"post1",-1.07043001456426,1960,0.985001334049833,0.984512955197655,0.958105672599114,1.01326701847316,"cm","PJ",3,"SEKI","low",4.51993748564443,291.811863189,47.8,"no",-1.43846625066214,0.742797480377282,0.623013292924352,-1.4245109878134,-0.175354881184083,-0.242203853672551,-0.241715474820373,-0.270469538095873,-0.215308192221832,"lat3",-0.242203853672551
"4pj3_1966",1961,"post1",0.311873996031284,1962,0.994251608506634,0.994686203481829,0.976388589928709,1.01113893426314,"cm","PJ",3,"SEKI","low",4.51993748564443,291.811863189,47.8,"yes",-1.4245109878134,0.824413932863864,1.26994981467748,0.566830431441732,0.371496241037367,-0.16983767564277,-0.170272270617965,-0.186725001399275,-0.151974657064844,"lat3",-0.16983767564277
